marker-color,marker-size,name,icon,lon,lat,marker-symbol
#7e7e7e,medium,FORTALEZA,marker,-38.51806640625,-3.7327083213358336,
#7e7e7e,medium,CANINDÉ,,-39.320068359375,-4.3409338893275375,
#7e7e7e,medium,SANTA QUITÉRIA,,-40.1605224609375,-4.3245014930191905,
#7e7e7e,medium,SOBRAL,,-40.352783203125,-3.683373343187846,
#7e7e7e,medium,VILA DE JERICOACOARA,,-40.4901123046875,-2.8168577330377342,
#7e7e7e,medium,TIANGUÁ,,-40.989990234375,-3.7217452310689536,
#7e7e7e,medium,SÃO BENEDITO,,-40.8746337890625,-4.045097324980062,
#7e7e7e,medium,IPU,,-40.704345703125,-4.3245014930191905,
#7e7e7e,medium,ITAPIPOCA,,-39.58374023437499,-3.46955730306146,
#7e7e7e,medium,ARACATI,,-37.77099609375,-4.565473550710278,
#7e7e7e,medium,RUSSAS,,-37.96875,-4.9486697400227,
#7e7e7e,medium,QUIXERAMOBIM,,-39.287109375,-5.167540507950538,
#7e7e7e,medium,CRATEÚS,,-40.67138671874999,-5.178482088522876,
#7e7e7e,medium,MOMBAÇA,,-39.627685546875,-5.725311447610142,
#7e7e7e,medium,TAUÁ,,-40.286865234375,-5.98760689165826,
#7e7e7e,medium,PARAMBU,,-40.693359375,-6.206090498573885,
#7e7e7e,medium,AIUABA,,-40.1220703125,-6.555474602201876,
#7e7e7e,medium,ACOPIARA,,-39.46289062499999,-6.0968598188879355,
#7e7e7e,medium,ICÓ,,-38.85864257812499,-6.369893945725818,
#7e7e7e,medium,VÁRZEA ALEGRE,,-39.298095703125,-6.7737162387535,
#7e7e7e,medium,CRATO,,-39.407958984375,-7.220799642710931,
#7e7e7e,medium,MAURITI,,-38.770751953125,-7.384257828309248,
#7e7e7e,medium,CAMPOS SALES,,-40.36376953125,-7.079088026071719,
#7e7e7e,medium,JUAZEIRO DO NORTE,,-39.320068359375,-7.215350011351342,
#7e7e7e,medium,IGUATU,,-39.2926025390625,-6.353515931008791,
#7e7e7e,medium,JAGUARIBE,,-38.6224365234375,-5.889260560133925,
#7e7e7e,medium,ALTO SANTO,,-38.2763671875,-5.512107462769789,
#7e7e7e,,MORADA NOVA,,-38.3697509765625,-5.101887070062321,
#7e7e7e,medium,QUIXADÁ,,-39.0179443359375,-4.970560127931995,
#7e7e7e,medium,BOA VIAGEM,,-39.737548828125,-5.10735844762961,
#7e7e7e,medium,JAGUARUANA,,-37.781982421875,-4.833733396156413,
#7e7e7e,medium,BATURITÉ,,-38.880615234375,-4.3245014930191905,
#7e7e7e,,MARANGUAPE,,-38.6883544921875,-3.897138029219278,
#7e7e7e,medium,ACARAÚ,,-40.111083984375,-2.8772079526533365,
#7e7e7e,medium,GRANJA,,-40.836181640625,-3.118576216781991,
#7e7e7e,medium,VIÇOSA DO CEARÁ,,-41.0888671875,-3.5627652904168543,
#7e7e7e,medium,CAMOCIM,,-40.8416748046875,-2.8991526985043006,
#7e7e7e,medium,AMONTADA,,-39.8309326171875,-3.3544053576029516,
#7e7e7e,medium,ITAPAJÉ,,-39.58374023437499,-3.6943369092926908,
#7e7e7e,medium,CROATÁ,,-40.902099609375,-4.4066598837670155,
#7e7e7e,medium,CASCAVEL,,-38.18847656249999,-4.182072606722732,
#7e7e7e,medium,CAUCAIA,,-38.660888671875,-3.7306527523230915,
#7e7e7e,medium,MARACANAÚ,,-38.62621307373047,-3.881381553343314,
